User ID,Date/Time,Device No.,Status
25,1/4/25 7:53,1,0
25,1/4/25 17:06,1,1
25,1/4/25 17:06,1,1
25,1/4/25 17:06,1,1
27,12/20/24 8:03,1,0
27,12/21/24 8:43,1,0
27,12/21/24 8:43,1,0
27,12/21/24 18:00,1,1
27,12/23/24 5:56,1,0
27,12/23/24 18:05,1,1
27,12/26/24 6:03,1,0
27,12/26/24 6:03,1,0
27,12/26/24 23:14,1,1
27,12/27/24 8:58,1,0
27,12/27/24 20:19,1,1
27,12/28/24 7:59,1,0
27,12/28/24 18:15,1,1
27,12/29/24 8:56,1,0
28,12/20/24 8:01,1,0
28,12/27/24 8:55,1,0
28,12/27/24 18:05,1,1
28,12/28/24 8:31,1,0
28,1/4/25 7:54,1,0
28,1/4/25 17:33,1,1
29,12/28/24 7:56,1,2
29,12/28/24 7:57,1,0
29,12/28/24 7:57,1,0
29,12/28/24 7:57,1,0
29,12/28/24 7:57,1,0
29,12/28/24 18:08,1,1
29,12/28/24 18:08,1,1
29,12/28/24 18:08,1,1
29,12/29/24 8:20,1,0
29,12/29/24 8:20,1,0
29,12/29/24 18:00,1,1
29,12/29/24 18:00,1,1
29,12/29/24 18:00,1,1
29,1/2/25 8:53,1,0
29,1/2/25 8:53,1,0
29,1/2/25 8:53,1,0
29,1/2/25 18:01,1,1
29,1/2/25 18:01,1,1
29,1/2/25 18:01,1,1
31,12/28/24 9:55,1,0
31,12/28/24 9:55,1,0
31,12/28/24 9:55,1,0
31,12/28/24 16:16,1,1
31,12/28/24 16:16,1,1
31,12/28/24 16:19,1,1
31,12/28/24 16:19,1,1
31,1/4/25 12:57,1,0
31,1/4/25 12:57,1,0
31,1/4/25 19:03,1,1
31,1/4/25 19:03,1,1
31,1/4/25 19:03,1,1
32,12/20/24 8:51,1,0
32,12/20/24 8:51,1,0
32,12/20/24 8:51,1,0
32,12/20/24 8:51,1,0
32,12/20/24 17:20,1,1
32,12/20/24 17:20,1,1
32,12/20/24 17:20,1,1
32,12/23/24 5:56,1,0
32,12/23/24 5:56,1,0
32,12/23/24 5:56,1,0
32,12/23/24 5:57,1,0
32,12/23/24 5:57,1,0
32,12/23/24 5:57,1,0
32,12/23/24 15:14,1,1
32,12/23/24 15:14,1,1
32,12/23/24 15:14,1,1
32,12/23/24 15:14,1,1
32,12/23/24 15:14,1,1
32,12/23/24 15:14,1,1
32,12/26/24 11:55,1,0
32,12/26/24 11:55,1,0
32,12/26/24 11:55,1,0
32,12/26/24 11:55,1,0
32,12/26/24 11:55,1,0
32,12/26/24 23:16,1,1
32,12/26/24 23:16,1,1
32,12/26/24 23:16,1,1
32,12/26/24 23:16,1,1
32,12/26/24 23:16,1,1
32,12/26/24 23:16,1,1
32,12/26/24 23:16,1,1
32,12/26/24 23:16,1,1
32,12/27/24 9:47,1,0
32,12/27/24 19:12,1,1
32,1/3/25 6:56,1,0
32,1/3/25 6:56,1,0
32,1/3/25 6:56,1,0
32,1/3/25 6:56,1,0
32,1/3/25 6:56,1,0
32,1/3/25 6:56,1,0
32,1/3/25 18:00,1,1
32,1/3/25 18:00,1,1
32,1/3/25 18:00,1,1
32,1/3/25 18:00,1,1
32,1/3/25 18:00,1,1
32,1/4/25 6:53,1,0
32,1/4/25 6:53,1,0
32,1/4/25 6:53,1,0
32,1/4/25 6:53,1,0
32,1/4/25 6:53,1,0
32,1/4/25 6:53,1,0
32,1/4/25 6:53,1,0
32,1/4/25 7:00,1,0
32,1/4/25 18:05,1,1
32,1/4/25 18:05,1,1
32,1/4/25 18:05,1,1
32,1/4/25 18:05,1,1
32,1/4/25 18:05,1,1
32,1/4/25 18:05,1,1
34,12/26/24 8:51,1,0
34,12/26/24 8:51,1,0
34,12/26/24 8:51,1,0
34,12/26/24 8:51,1,0
34,12/26/24 8:51,1,0
34,12/26/24 18:00,1,1
34,12/26/24 18:00,1,1
34,12/26/24 18:00,1,1
34,12/26/24 18:00,1,1
34,12/27/24 8:47,1,0
34,12/27/24 8:47,1,0
34,12/27/24 8:47,1,0
34,12/27/24 8:47,1,0
34,12/27/24 8:47,1,0
34,12/27/24 18:00,1,1
34,12/27/24 18:00,1,1
34,12/27/24 18:00,1,1
34,12/27/24 18:00,1,1
34,1/2/25 8:55,1,0
34,1/2/25 8:55,1,0
34,1/2/25 8:55,1,0
34,1/2/25 8:55,1,0
34,1/2/25 18:01,1,1
34,1/2/25 18:01,1,1
34,1/2/25 18:01,1,1
34,1/2/25 18:01,1,1
34,1/3/25 6:51,1,0
34,1/3/25 6:51,1,0
34,1/3/25 6:51,1,0
34,1/3/25 6:51,1,0
34,1/3/25 18:00,1,1
34,1/3/25 18:00,1,1
34,1/3/25 18:00,1,1
34,1/3/25 18:00,1,1
34,1/3/25 18:00,1,1
34,1/4/25 6:52,1,0
34,1/4/25 6:52,1,0
34,1/4/25 6:52,1,0
34,1/4/25 6:52,1,0
34,1/4/25 6:52,1,0
34,1/4/25 17:59,1,1
34,1/4/25 18:00,1,1
34,1/4/25 18:00,1,1
34,1/4/25 18:00,1,1
34,1/4/25 18:00,1,1
34,1/4/25 18:00,1,1
34,1/4/25 18:00,1,1
34,1/4/25 18:00,1,1
34,1/4/25 18:00,1,1
34,1/4/25 18:00,1,1
34,1/4/25 18:00,1,1
40,12/29/24 14:43,1,0
40,12/29/24 14:43,1,0
40,12/30/24 3:00,1,1
40,12/30/24 3:00,1,1
40,12/30/24 3:00,1,1
40,12/31/24 2:12,1,1
40,12/31/24 2:12,1,1
41,12/22/24 7:36,1,0
41,12/22/24 7:36,1,0
